Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,0.156925,0.001152,0.106,-0.095833
351,0.180785,-0.003593,0.139,-0.081177
352,0.191405,-0.001971,0.149,-0.04467
353,0.201854,0.00603,0.161,-0.056802
354,0.224137,0.003196,0.158,-0.039695
355,0.237819,-0.007157,0.172,-0.022669
356,0.265021,-0.007667,0.176,-0.029921
357,0.270079,-0.002091,0.188,-0.037346
358,0.295713,0.003675,0.192,-0.054434
359,0.350814,0.007944,0.218,-0.020208
360,0.384955,0.008422,0.245,0.014561
361,0.379036,0.002356,0.243,-0.009037
362,0.450612,0.002864,0.249,-0.028531
363,0.489038,0.006288,0.27,-0.0424
364,0.501706,0.00406,0.278,-0.016059
365,0.556471,0.005767,0.291,-1.7E-05
366,0.580245,0.014008,0.313,-0.053114
367,0.560815,0.017321,0.328,-0.049895
368,0.543368,0.010716,0.353,-0.032632
369,0.54932,0.003809,0.356,0.017236
370,0.638773,0.003627,0.367,0.017696
371,0.79699,0.001602,0.403,-0.005701
372,0.81859,0.001026,0.42,-0.013179
373,0.765856,-0.009669,0.431,-0.029927
374,0.817562,-0.00784,0.451,-0.043435
375,0.943315,-0.001505,0.471,-0.004643
376,1.004124,-0.003718,0.482,-0.006937
377,1.036357,-0.000762,0.514,-0.014484
378,1.162932,0.001436,0.559,-0.005867
379,1.262796,-0.000667,0.564,-0.014991
380,1.36629,-0.001763,0.588,-0.048395
381,1.487144,-0.001349,0.611,-0.022608
382,1.544896,0.00185,0.606,-0.01273
383,1.623497,-0.007889,0.647,0.013383
384,1.786633,-0.006399,0.678,-0.016996
385,1.876866,-0.000257,0.709,-0.005073
386,2.000039,0.002463,0.759,-0.001624
387,2.175987,-0.000344,0.78,-0.000248
388,2.255126,0.000541,0.801,-0.023327
389,2.381041,0.002587,0.829,-0.01952
390,2.491373,0.003107,0.852,-0.010532
391,2.611835,-0.001187,0.883,0.017832
392,2.740198,0.003209,0.921,0.000972
393,2.843903,0.002373,0.96,-0.000551
394,2.972619,0.001111,0.965,-0.00835
395,3.067342,-0.000917,1.003,-0.044866
396,3.149727,-0.001999,1.026,-0.050438
397,3.280081,-0.000353,1.063,-0.046441
398,3.338333,0.003036,1.101,-0.047081
399,3.435773,0.001493,1.134,-0.017468
400,3.54061,0.010182,1.157,-0.001462
401,3.548764,0.013997,1.172,-0.002079
402,3.58925,0.01193,1.212,-0.004077
403,3.694628,0.015838,1.253,-0.011585
404,3.766492,0.027471,1.283,-0.016468
405,3.838711,0.045506,1.311,0.015314
406,3.96611,0.117406,1.352,0.014788
407,4.011253,0.382964,1.388,0.012003
408,4.081104,0.895976,1.428,0.012585
409,4.181317,1.950596,1.457,0.046059
410,4.279851,2.964037,1.486,0.066489
411,4.349678,3.492784,1.536,0.062869
412,4.470462,3.843399,1.569,0.109012
413,4.502549,3.885458,1.619,0.155167
414,4.577627,3.968115,1.653,0.234832
415,4.626015,4.04507,1.684,0.378301
416,4.668616,4.135008,1.72,0.64162
417,4.768429,4.264029,1.74,1.112966
418,4.911022,4.414919,1.786,1.752838
419,4.992794,4.505203,1.833,2.892807
420,5.094834,4.592903,1.861,4.560984
421,5.052697,4.536195,1.904,6.379861
422,5.017832,4.479994,1.946,8.95009
423,5.032414,4.448143,1.993,12.239457
424,5.04755,4.405692,2.038,15.06922
425,5.101147,4.351165,2.077,18.568139
426,5.176176,4.288529,2.121,22.448243
427,5.187132,4.166493,2.163,26.776849
428,5.227383,4.119432,2.196,29.9383
429,5.310002,4.124273,2.234,34.705282
430,5.357939,4.154551,2.289,39.030019
431,5.399981,4.230824,2.338,42.803984
432,5.463174,4.398457,2.381,47.874665
433,5.529733,4.607475,2.432,52.401363
434,5.582985,4.793825,2.473,56.283906
435,5.689164,5.063651,2.518,61.762417
436,5.787522,5.309904,2.555,65.865396
437,5.924892,5.546041,2.617,70.592925
438,6.048886,5.722695,2.668,74.100526
439,6.096675,5.809109,2.724,77.100769
440,6.114328,5.806896,2.754,79.400097
441,6.138995,5.802167,2.801,80.756954
442,6.174616,5.79216,2.851,80.761876
443,6.240637,5.819106,2.907,80.083151
444,6.237532,5.792101,2.957,76.820572
445,6.260592,5.789128,3.017,73.594437
446,6.320906,5.831277,3.057,68.36622
447,6.363481,5.85903,3.107,62.210183
448,6.48868,5.965164,3.158,57.295123
449,6.923352,6.35137,3.205,50.635196
450,7.561288,6.929414,3.26,44.212001
451,7.497176,6.862107,3.306,38.347733
452,7.282814,6.661881,3.358,34.301864
453,7.144798,6.555524,3.403,29.6926
454,6.931139,6.399856,3.462,25.940482
455,6.961787,6.488998,3.509,22.687733
456,7.0945,6.676659,3.559,20.288594
457,7.3358,6.979009,3.602,18.024745
458,7.51983,7.21785,3.661,15.732243
459,7.597557,7.317525,3.735,13.978514
460,7.613873,7.331499,3.766,12.525616
461,7.800414,7.481132,3.823,10.766231
462,8.14451,7.731443,3.873,9.35663
463,8.362135,7.823194,3.919,8.017954
464,8.390307,7.748527,3.971,7.088579
465,8.411061,7.641589,4.029,6.078339
466,8.719772,7.827917,4.093,5.022322
467,9.474458,8.46536,4.152,4.270669
468,9.923644,8.845793,4.204,3.783031
469,9.787601,8.734861,4.26,3.18789
470,9.375734,8.429649,4.314,2.868123
471,9.022333,8.201592,4.377,2.47507
472,9.003292,8.27893,4.426,2.263459
473,9.550914,8.943151,4.478,2.073893
474,9.32377,8.836313,4.547,1.901222
475,8.355872,8.003697,4.594,1.818203
476,8.015918,7.73173,4.651,1.761351
477,7.826598,7.582405,4.714,1.663123
478,7.78347,7.536255,4.772,1.685242
479,7.882896,7.599655,4.816,1.657094
480,8.11988,7.792452,4.872,1.686122
481,8.515701,8.113875,4.932,1.788291
482,8.639869,8.179716,4.99,1.854898
483,8.603022,8.097123,5.057,2.040182
484,8.48014,7.965898,5.107,2.208692
485,8.191094,7.701563,5.159,2.415305
486,7.951817,7.50276,5.207,2.757259
487,7.836358,7.439149,5.273,3.068582
488,7.823557,7.488651,5.331,3.563647
489,7.830069,7.548772,5.385,3.933969
490,7.897892,7.691476,5.43,4.464429
491,8.195431,8.042039,5.484,5.091028
492,8.58447,8.458933,5.539,5.693611
493,8.560849,8.441829,5.6,6.452931
494,8.336863,8.203797,5.649,7.048386
495,8.065434,7.900356,5.707,7.784708
496,7.886896,7.669028,5.758,8.652247
497,7.765473,7.482735,5.803,9.492226
498,7.708611,7.372449,5.858,10.242747
499,7.666602,7.277118,5.918,11.197833
500,7.62836,7.193194,5.971,12.197355
501,7.620476,7.16688,6.022,13.22751
502,7.632726,7.169584,6.075,14.255006
503,7.647651,7.198054,6.129,15.081854
504,7.655263,7.230834,6.19,16.189857
