Energy_MJ/m2,MF.0077.01,MF.0077.02,MF.0077.03,MF.0077.04,MF.0077.05,MF.0077.06,MF.0077.07,MF.0077.08,MF.0077.09,MF.0077.10,MF.0077.11,MF.0077.12,dE00_mean,dE00_stdev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.4398,0.4995,0.4201,0.3437,0.3428,0.4044,0.5843,0.4887,0.5325,0.284,0.3542,0.4053,0.4249,0.0846
1.0,0.6834,0.6983,0.6437,0.565,0.5604,0.6319,0.9164,0.7266,0.8198,0.5108,0.5701,0.6379,0.6637,0.1112
1.5,0.8655,0.8499,0.8149,0.7591,0.7374,0.8174,1.1361,0.9145,1.0459,0.6919,0.7551,0.8258,0.8511,0.1233
2.0,1.0219,0.991,0.9613,0.8554,0.8972,0.9767,1.2954,0.98,1.22,0.8368,0.9209,0.9995,0.9963,0.13
2.5,1.1527,1.1122,1.0922,0.9917,1.0374,1.1177,1.5017,1.1991,1.35,0.972,1.0676,1.1531,1.1456,0.1437
3.0,1.2834,1.2335,1.2193,1.1136,1.1733,1.2468,1.6104,1.3367,1.5099,1.0903,1.1967,1.2911,1.2754,0.1455
3.5,1.3948,1.3484,1.3283,1.222,1.292,1.362,1.8522,1.4858,1.6725,1.2117,1.3221,1.4239,1.4096,0.1779
4.0,1.5055,1.466,1.4359,1.3468,1.4177,1.4775,1.9748,1.5886,1.8095,1.3178,1.4367,1.5516,1.5274,0.1817
4.5,1.6067,1.5672,1.5371,1.4019,1.5312,1.5721,2.0795,1.5909,1.9703,1.4212,1.5516,1.6632,1.6244,0.1932
5.0,1.7079,1.6683,1.6311,1.5382,1.6372,1.6667,2.2197,1.8232,2.0384,1.5153,1.6567,1.778,1.7401,0.1957
5.5,1.8043,1.7642,1.7244,1.6119,1.7389,1.7691,2.2666,1.857,2.1647,1.6089,1.766,1.8859,1.8302,0.1904
6.0,1.8977,1.8728,1.8177,1.7442,1.8366,1.8583,2.4084,1.9648,2.2609,1.6928,1.8625,1.9937,1.9342,0.1978
6.5,1.9815,1.9811,1.901,1.8111,1.9309,1.9466,2.5468,2.0943,2.388,1.7765,1.9621,2.0919,2.0343,0.2156
7.0,2.0745,2.0663,1.9843,1.9206,2.0202,2.03,2.6679,2.2262,2.5429,1.8635,2.06,2.19,2.1372,0.2313
7.5,2.1576,2.1577,2.0676,1.9879,2.1058,2.114,2.7734,2.264,2.6515,1.9442,2.144,2.2879,2.2213,0.2398
8.0,2.2411,2.241,2.1409,2.0872,2.1973,2.1983,2.86,2.3455,2.6923,2.0277,2.2276,2.3757,2.3029,0.2333
8.5,2.3228,2.3244,2.2228,2.1319,2.2815,2.2721,2.9504,2.5519,2.8698,2.1112,2.3211,2.4739,2.4028,0.2561
9.0,2.3977,2.3984,2.2976,2.2583,2.3651,2.355,2.998,2.4968,2.9196,2.1953,2.3967,2.5647,2.4703,0.2382
9.5,2.474,2.474,2.371,2.3439,2.4488,2.436,3.0811,2.6041,3.08,2.2859,2.4861,2.6599,2.5621,0.2516
10.0,2.5544,2.5543,2.4396,2.3943,2.5328,2.5183,3.2573,2.711,3.21,2.3685,2.5625,2.7455,2.654,0.28
