Energy_MJ/m2,MF.0071.05,MF.0071.06,MF.0071.07,MF.0071.08,MF.0071.09,MF.0071.10,MF.0071.11,MF.0071.12,MF.0071.13,MF.0071.14,MF.0071.15,MF.0071.16,MF.0071.17,MF.0071.18,MF.0071.19,dE00_mean,dE00_stdev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3007,0.2408,0.3022,0.3116,0.3673,0.2949,0.599,0.1933,0.4136,0.3158,0.3078,0.3659,0.3539,0.3286,0.3386,0.3356,0.0867
1.0,0.3695,0.28,0.3938,0.4033,0.4712,0.3812,0.6523,0.2684,0.483,0.3945,0.3845,0.4491,0.4191,0.4029,0.4365,0.4126,0.0859
1.5,0.4251,0.3,0.4616,0.466,0.5375,0.4387,0.7691,0.3294,0.525,0.4572,0.4172,0.5145,0.4744,0.4699,0.4901,0.4717,0.1014
2.0,0.4704,0.3202,0.5147,0.5283,0.5941,0.492,0.7628,0.3828,0.5668,0.4999,0.4398,0.5599,0.5199,0.5236,0.5474,0.5148,0.0957
2.5,0.5082,0.3481,0.567,0.5755,0.6451,0.5451,0.77,0.4283,0.6088,0.5452,0.47,0.6053,0.5651,0.5746,0.59,0.5564,0.0933
3.0,0.5459,0.3759,0.6124,0.6232,0.6884,0.58,0.8799,0.48,0.6413,0.5852,0.4952,0.6452,0.6052,0.621,0.6409,0.6013,0.107
3.5,0.5837,0.4037,0.6525,0.668,0.7316,0.6233,0.8756,0.5238,0.6826,0.6179,0.5279,0.6859,0.648,0.6689,0.6846,0.6385,0.1025
4.0,0.6215,0.4315,0.7001,0.6991,0.7747,0.6694,0.8736,0.5672,0.7144,0.6513,0.5605,0.7205,0.6906,0.7164,0.7282,0.6746,0.0988
4.5,0.6492,0.4593,0.738,0.7405,0.818,0.708,0.9424,0.611,0.75,0.6932,0.5933,0.7633,0.7264,0.7517,0.7717,0.7144,0.1057
5.0,0.677,0.487,0.7757,0.7816,0.8511,0.7511,0.9518,0.6544,0.7783,0.726,0.62,0.7959,0.7559,0.7908,0.8153,0.7475,0.1041
5.5,0.71,0.5148,0.8068,0.823,0.8843,0.7886,0.9947,0.6891,0.8203,0.7585,0.6486,0.8287,0.7987,0.8291,0.858,0.7835,0.1075
6.0,0.7425,0.5426,0.8456,0.8542,0.9176,0.8176,1.0387,0.7308,0.85,0.7913,0.6712,0.8712,0.8312,0.8726,0.8853,0.8175,0.1107
6.5,0.7703,0.5703,0.8745,0.8855,0.9507,0.8607,1.0526,0.7627,0.8741,0.8239,0.7,0.904,0.864,0.9064,0.9263,0.8484,0.1099
7.0,0.7981,0.5981,0.9134,0.9167,0.974,0.8939,1.1139,0.7944,0.9059,0.85,0.72,0.9366,0.8966,0.9299,0.9498,0.8794,0.1148
7.5,0.8258,0.6259,0.9423,0.948,1.0141,0.927,1.1474,0.8263,0.9379,0.8892,0.7493,0.9693,0.9294,0.9636,0.9834,0.9119,0.1166
8.0,0.8536,0.6537,0.972,0.9886,1.0403,0.9603,1.218,0.858,0.9694,0.922,0.7719,1.0019,0.9519,0.9971,1.01,0.9446,0.1234
8.5,0.8814,0.6814,1.0099,1.0109,1.07,0.9934,1.2671,0.8999,0.9917,0.9446,0.7946,1.0347,0.99,1.0308,1.0408,0.9761,0.1272
9.0,0.9091,0.6992,1.0388,1.0418,1.1,1.0266,1.2749,0.9233,1.0235,0.9773,0.82,1.0572,1.0173,1.0743,1.0689,1.0035,0.1268
9.5,0.937,0.727,1.0677,1.0729,1.12,1.0599,1.2935,0.9535,1.05,1.0101,0.85,1.09,1.05,1.098,1.098,1.0318,0.125
10.0,0.9648,0.7547,1.0965,1.1,1.15,1.086,1.3291,0.9852,1.0773,1.0426,0.87,1.1226,1.0826,1.1315,1.1316,1.0616,0.1274
